0   2
2000   10753
4000   32994
6000   70734
8000   121137
10000   187140
12000   275387
14000   374002
16000   486775
18000   614449
20000   755124
22000   906233
24000   1.08132e+06
26000   1.27371e+06
28000   1.48387e+06
30000   1.69294e+06
32000   1.92905e+06
34000   2.16428e+06
36000   2.43974e+06
38000   2.7193e+06
40000   3.0145e+06
42000   3.32151e+06
44000   3.64916e+06
46000   3.99386e+06
48000   4.34348e+06
50000   4.7138e+06
52000   5.10697e+06
54000   5.51645e+06
56000   5.95039e+06
58000   6.3933e+06
60000   6.85499e+06
